ingest,retrieval,hit_rate,mrr,avg_chunks,avg_latency_ms,chunk_size,chunk_overlap,mode,k,final_k,candidates,score_threshold
chunk=200/overlap=50,semantic-k3-thr-0.25,0.875,0.8125,2.625,291.00000000107684,200,50,semantic,3,3,0,0.25
chunk=200/overlap=50,bm25-k3,0.875,0.6875,2.0,2.0000000004074536,200,50,bm25,3,3,0,
chunk=200/overlap=50,hybrid-final3-thr-0.25,0.875,0.75,2.875,245.9999999991851,200,50,hybrid,0,3,6,0.25
chunk=200/overlap=100,semantic-k3-thr-0.25,0.875,0.8125,2.625,255.87499999892316,200,100,semantic,3,3,0,0.25
chunk=200/overlap=100,bm25-k3,0.875,0.75,2.125,0.0,200,100,bm25,3,3,0,
chunk=200/overlap=100,hybrid-final3-thr-0.25,0.875,0.75,2.875,216.87499999825377,200,100,hybrid,0,3,6,0.25
chunk=200/overlap=200,semantic-k3-thr-0.25,0.875,0.8125,2.5,245.9999999991851,200,200,semantic,3,3,0,0.25
chunk=200/overlap=200,bm25-k3,0.75,0.625,1.75,2.0000000004074536,200,200,bm25,3,3,0,
chunk=200/overlap=200,hybrid-final3-thr-0.25,0.875,0.75,2.875,167.99999999784632,200,200,hybrid,0,3,6,0.25
chunk=300/overlap=50,semantic-k3-thr-0.25,0.875,0.8125,2.625,214.8750000014843,300,50,semantic,3,3,0,0.25
chunk=300/overlap=50,bm25-k3,0.875,0.8125,1.875,1.874999998108251,300,50,bm25,3,3,0,
chunk=300/overlap=50,hybrid-final3-thr-0.25,0.875,0.75,2.875,296.875,300,50,hybrid,0,3,6,0.25
chunk=300/overlap=100,semantic-k3-thr-0.25,0.875,0.8125,2.625,220.75000000040745,300,100,semantic,3,3,0,0.25
chunk=300/overlap=100,bm25-k3,0.875,0.6875,1.875,2.0000000004074536,300,100,bm25,3,3,0,
chunk=300/overlap=100,hybrid-final3-thr-0.25,0.875,0.75,2.875,167.8749999991851,300,100,hybrid,0,3,6,0.25
chunk=300/overlap=200,semantic-k3-thr-0.25,0.875,0.8125,2.625,252.00000000040745,300,200,semantic,3,3,0,0.25
chunk=300/overlap=200,bm25-k3,0.75,0.625,1.75,1.8750000017462298,300,200,bm25,3,3,0,
chunk=300/overlap=200,hybrid-final3-thr-0.25,0.875,0.75,2.875,164.1249999993306,300,200,hybrid,0,3,6,0.25
